@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

heart-statlog,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,135,135,92,43,0,68.148148,31.851852,0,0.324607,0.318445,0.563915,64.473283,113.485622,133.795527,982.562537,-848.767009,0.991078,7.278241,-6.287163,47.061772,0.348606,4747.311545,0.893333,67,0.583333,35,0.416667,25,0.106667,8,0.656863,0.893333,0.757062,0.358435,0.782111,0.797976,0.681481,0.371481,0.628519,0.318519,0.701624,0.681481,0.659539,0.358435,0.782605,0.749159,0.647348,0.681481,0,0.001,0.000406,0.000285,0.406,0.285,116384,20847,20847,68.148148,50,?
hepatitis,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,78,77,61,16,0,79.220779,20.779221,0,0,0.207824,0.455842,62.601339,112.344322,56.774983,11992.960781,-11936.185799,0.737337,155.752737,-155.0154,15.505604,0.201371,2077.846554,0,0,0,0,1,61,1,16,0,0,0,0,0.603996,0.283072,0.792208,0.792208,0.207792,0.207792,0.627593,0.792208,0.700358,0,0.603996,0.716709,0.442029,0.792208,0,0,0.000482,0.000134,0.482,0.134,114790,17900,17711,79.220779,50,?
labor,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,29,28,19,9,0,67.857143,32.142857,0,0.125,0.32361,0.563239,70.576218,117.546472,26.328475,65.185519,-38.857044,0.940303,2.328054,-1.387752,7.095324,0.253404,756.176954,0.1,1,0,0,1,18,0.9,9,1,0.1,0.181818,0.258199,0.725,0.528571,0.678571,0.578571,0.421429,0.321429,0.785714,0.678571,0.579221,0.258199,0.725,0.70068,0.490909,0.678571,0.001,0,0.000313,0.000047,0.313,0.047,107376,7673,7508,67.857143,50,?
sonar,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,104,104,65,39,0,62.5,37.5,0,0.23298,0.381175,0.601398,76.568321,120.612063,103.586755,3908.722932,-3805.136177,0.996026,37.583874,-36.587848,23.955874,0.230345,2401.139888,0.479167,23,0.25,14,0.75,42,0.520833,25,0.621622,0.479167,0.541176,0.238632,0.719308,0.620696,0.625,0.395833,0.604167,0.375,0.624445,0.625,0.617504,0.238632,0.719308,0.701816,0.612052,0.625,0.001,0.001,0.001267,0.000687,1.267,0.687,156814,58058,58058,69.230769,56.25,?
vote,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,217,218,203,15,0,93.119266,6.880734,0,0.85882,0.07004,0.262937,14.765716,54.026699,209.658789,9836.690675,-9627.031887,0.961738,45.122434,-44.160697,178.095794,0.816953,18482.705609,0.895522,120,0.011905,1,0.988095,83,0.104478,14,0.991736,0.895522,0.941176,0.865322,0.960066,0.966172,0.931193,0.047575,0.952425,0.068807,0.939307,0.931193,0.93191,0.865322,0.961931,0.940975,0.929152,0.931193,0,0.001,0.000527,0.000396,0.527,0.396,135995,39242,39407,93.119266,50.229358,?
breast-cancer,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20191123.2351,143,143,90,53,0,62.937063,37.062937,0,0.180737,0.347114,0.517659,82.862188,113.630514,124.951512,240.714552,-115.76304,0.873787,1.683319,-0.809532,12.515724,0.087523,1413.462928,0.673267,68,0.47619,20,0.52381,22,0.326733,33,0.772727,0.673267,0.719577,0.184501,0.642975,0.777425,0.629371,0.432294,0.567706,0.370629,0.663255,0.629371,0.64146,0.184501,0.643252,0.683787,0.586592,0.629371,0,0.003,0.000289,0.0022,0.289,2.2,22624,18711,18711,83.216783,67.132867,?
horse-colic,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20191123.2351,184,184,139,45,0,75.543478,24.456522,0,0.479899,0.247635,0.491988,53.101945,101.926565,174.863251,344.839965,-169.976714,0.950344,1.87413,-0.923786,79.571435,0.432453,8363.507439,0.793103,92,0.308824,21,0.691176,47,0.206897,24,0.814159,0.793103,0.803493,0.480188,0.740302,0.774488,0.755435,0.271155,0.728845,0.244565,0.757916,0.755435,0.756472,0.480188,0.740302,0.699822,0.739876,0.755435,0.001,0.009,0.000463,0.009489,0.463,9.489,48337,43698,43698,75.543478,50,?
german_credit,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20191123.2351,500,500,341,159,0,68.2,31.8,0,0.223633,0.319042,0.56276,75.904802,122.804077,440.646539,1439.781679,-999.13514,0.881293,2.879563,-1.99827,82.246297,0.164493,9322.199975,0.791429,277,0.573333,86,0.426667,64,0.208571,73,0.763085,0.791429,0.776999,0.224085,0.609048,0.749928,0.682,0.463905,0.536095,0.318,0.674306,0.682,0.677697,0.224085,0.609048,0.636345,0.611496,0.682,0.001,0.034,0.000446,0.034431,0.446,34.431,107352,102823,102823,68.2,50,?
heart-statlog,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20191123.2351,135,135,97,38,0,71.851852,28.148148,0,0.4375,0.28476,0.526803,57.653332,106.016941,133.795527,272.367864,-138.572336,0.991078,2.01754,-1.026462,56.49343,0.41847,5698.721074,0.693333,52,0.25,15,0.75,45,0.306667,23,0.776119,0.693333,0.732394,0.4406,0.721667,0.70848,0.718519,0.275185,0.724815,0.281481,0.725295,0.718519,0.719386,0.4406,0.721667,0.663571,0.71776,0.718519,0,0.002,0.000237,0.002321,0.237,2.321,24984,20847,20847,71.851852,50,?
hepatitis,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20191123.2351,78,77,60,17,0,77.922078,22.077922,0,0.279582,0.231902,0.463756,69.854084,114.294722,56.774983,111.429741,-54.654758,0.737337,1.447139,-0.709802,11.682144,0.151716,1565.47941,0.375,6,0.114754,7,0.885246,54,0.625,10,0.461538,0.375,0.413793,0.281869,0.630123,0.302947,0.779221,0.518975,0.481025,0.220779,0.764329,0.779221,0.770451,0.281869,0.630123,0.72669,0.638897,0.779221,0,0.001,0.000167,0.00098,0.167,0.98,22369,17900,17711,77.922078,50,?
